# Sensor,Insect
1443,0
1443,0
1443,0
1442,0
1443,0
1442,0
1442,0
1442,0
1443,0
1441,0
1443,0
1442,0
1443,0
1442,0
1440,0
1445,0
1442,0
1441,0
1440,0
1442,0
1444,0
1441,0
1442,0
1443,0
1443,0
1442,0
1442,0
1443,0
1442,0
1443,0
1442,0
1443,0
1442,0
1439,0
1439,0
1442,0
1442,0
1443,0
1444,0
1442,0
1444,0
1444,0
1443,0
1441,0
1441,0
1443,0
1443,0
1442,0
1441,0
1442,0
1441,0
1442,0
1443,0
1442,0
1441,0
1442,0
1443,0
1440,0
1441,0
1442,0
1443,0
1441,0
1439,0
1441,0
1442,0
1444,0
1445,0
1445,0
1442,0
1441,0
1442,0
1439,0
1442,0
1442,0
1443,0
1442,0
1445,0
1440,0
1442,0
1444,0
1442,0
1444,0
1441,0
1442,0
1443,0
1443,0
1443,0
1443,0
1445,0
1440,0
1441,0
1444,0
1442,0
1443,0
1441,0
1444,0
1444,0
1442,0
1442,0
1442,0
1444,0
1442,0
1440,0
1442,0
1444,0
1440,0
1441,0
1443,0
1442,0
1442,0
1444,0
1445,0
1445,0
1443,0
1443,0
1442,0
1441,0
1442,0
1440,0
1442,0
1442,0
1444,0
1442,0
1444,0
1443,0
1441,0
1441,0
1443,0
1442,0
1444,0
1441,0
1441,0
1441,0
1440,0
1442,0
1442,0
1442,0
1442,0
1443,0
1443,0
1441,0
1441,0
1443,0
1443,0
1441,0
1443,0
1442,0
1442,0
1441,0
1441,0
1442,0
1444,0
1444,0
1442,0
1441,0
1440,0
1440,0
1446,0
1444,0
1443,0
1442,0
1443,0
1444,0
1442,0
1441,0
1441,0
1443,0
1440,0
1442,0
1443,0
1443,0
1443,0
1442,0
1444,0
1440,0
1442,0
1439,0
1442,0
1442,0
1443,0
1441,0
1442,0
1442,0
1444,0
1441,0
1442,0
1445,0
1443,0
1444,0
1442,0
1444,0
1439,0
1441,0
1441,0
1441,0
1440,0
1443,0
1443,0
1442,0
1442,0
1442,0
1442,0
1441,0
1442,0
1441,0
1440,0
1442,0
1442,0
1442,0
1444,0
1442,0
1442,0
1443,0
1442,0
1441,0
1442,0
1443,0
1443,0
1443,0
1441,0
1442,0
1439,0
1440,0
1441,0
1442,0
1440,0
1441,0
1443,0
1441,0
1441,0
1443,0
1442,0
1439,0
1442,0
1444,0
1444,0
1444,0
1444,0
1441,0
1443,0
1443,0
1442,0
1441,0
1441,0
1443,0
1444,0
1441,0
1441,0
1442,0
1442,0
1441,0
1443,0
1442,0
1442,0
1444,0
1446,0
1445,0
1444,0
1441,0
1441,0
1441,0
1441,0
1444,0
1440,0
1440,0
1441,0
1443,0
1443,0
1443,0
1443,0
1443,0
1442,0
1442,0
1442,0
1441,0
1439,0
1443,0
1442,0
1442,0
1441,0
1442,0
1442,0
1442,0
1443,0
1441,0
1440,0
1443,0
1444,0
1440,0
1439,0
1441,0
1441,0
1443,0
1441,0
1440,0
1444,0
1441,0
1441,0
1442,0
1441,0
1441,0
1442,0
1443,0
1441,0
1441,0
1441,0
1442,0
1443,0
1441,0
1443,0
1444,0
1441,0
1441,0
1443,0
1441,0
1442,0
1439,0
1441,0
1443,0
1443,0
1440,0
1441,0
1442,0
1442,0
1442,0
1441,0
1440,0
1440,0
1444,0
1442,0
1440,0
1439,0
1439,0
1440,0
1442,0
1443,0
1442,0
1442,0
1442,0
1441,0
1441,0
1440,0
1442,0
1443,0
1444,0
1441,0
1444,0
1440,0
1440,0
1443,0
1444,0
1444,0
1441,0
1444,0
1441,0
1441,0
1443,0
1443,0
1440,0
1445,0
1439,0
1442,0
1443,0
1443,0
